count,name
0,Phillips County-Marion
0,Mooney
0,Phillips County-St. Francis
0,Phillips County-Spring Creek
0,Tappan
0,Antoine
2,Pike County-Brewer
8,Pike County-Clark
1,Pike County-Eagle
0,Pike County-Missouri
0,Pike County-Mountain
1,Pike County-Muddy Fork
0,Pike City
0,Pike County-Saline
0,Self Creek
1,Thompson
0,Pike County-White
0,Wolf Creek
0,Poinsett County-Bolivar
1,Dobson
0,Poinsett County-Greenfield
18,Poinsett County-Greenwood
1,Poinsett County-Little River
1,Lunsford
1,Poinsett County-Owen
0,Poinsett County-Scott
0,Poinsett County-Tyronza
3,West Prairie
17,Willis
1,Acorn
0,Big Fork
0,Polk County-Cedar
6,Polk County-Center
0,Cove
0,Polk County-Eagle
0,Faulkner
0,Freedom
1,Polk County-Fulton
0,Gap Springs
0,Polk County-Mill Creek
1,Polk County-Mountain
1,Polk County-Ouachita
14,Polk County-Ozark
1,Potter
0,Rich Mountain
6,Polk County-White
1,Bayliss
1,Burnett
1,Pope County-Center
8,Pope County-Clark
2,Convenience
8,Pope County-Dover
0,Pope County-Freeman
15,Galla
1,Pope County-Griffin
8,Gum Log
187,Pope County-Illinois
0,Pope County-Jackson
0,Pope County-Liberty
2,Pope County-Martin
3,Moreland
0,Phoenix
0,Smyrna
15,Pope County-Valley
3,Pope County-Wilson
0,Belcher
0,Bullard
0,Calhoun
0,Prairie County-Center
0,Prairie County-Des Arc
0,Hazen
1,Hickory Plain
0,Lower Surrounded Hill
0,Prairie County-Roc Roe
0,Prairie County-Tyler
0,Prairie County-Union
0,Upper Surrounded Hill
0,Watensaw
0,Prairie County-White River
"3,285",Big Rock
738,Pulaski County-Hill
0,Randolph County-Baker
0,Bristow
0,Randolph County-Butler
0,Columbia
0,Current River
0,Dalton
6,Demun
0,East Roanoke
0,Eleven Point
0,Foster
0,Ingram
0,Randolph County-Jackson
0,Janes Creek
0,Little Black
0,O'Kean
0,Reyno
0,Richardson
0,Running Lake
1,Shiloh
0,Siloam
0,Randolph County-Spring River
0,Randolph County-Union
0,Warm Springs
0,Water Valley
0,West Roanoke
0,Wiley
0,Black Fish
1,St. Francis County-Franks
0,St. Francis County-Garland
0,Goodwin
0,Griggs
0,Heth
1,St. Francis County-Johnson
